AUT,usage,test_id,human_video_id,human_states,generated_states,human_transitions,generated_transitions,state_coverage,transition_coverage,state_recall,transition_recall,effort,reduction,core_flag
dailyhunt,18-Textsize,0,0,"['items', 'item_detail', 'menu', 'text_size', 'text_size', 'text_size']",['popup'],"['item_i', 'menu_more', 'textsize', 'change_textsize', 'continue']",['legal'],0.0,0.0,0.0,0.0,5.0,0.0,
dailyhunt,18-Textsize,0,1,"['home', 'category', 'item_detail', 'menu', 'text_size', 'text_size', 'category', 'category', 'item_detail', 'category', 'category', 'items', 'items', 'items']",['popup'],"['category_i', 'menu_more', 'textsize', 'continue', 'category_i', 'category_i', 'back', 'category_i', 'item_i', 'item_i']",['legal'],0.0,0.0,0.0,0.0,10.0,0.0,
dailyhunt,18-Textsize,0,2,"['menu', 'text_size', 'text_size', 'items', 'items', 'items', 'items', 'items', 'items', 'item_detail']",['popup'],"['textsize', 'continue', 'item_i', 'up', 'up', 'item_i', 'menu_more']",['legal'],0.0,0.0,0.0,0.0,7.0,0.0,
