AUT,usage,test_id,human_video_id,human_states,generated_states,human_transitions,generated_transitions,state_coverage,transition_coverage,state_recall,transition_recall,effort,reduction,core_flag
guardian,17-RemoveBookmark,0,0,"['get_started', 'account', 'item_detail', 'home', 'home', 'home', 'home', 'home', 'home', 'item_detail', 'sign_in']","['get_started', 'home', 'item_detail', 'item_detail']","['continue', 'back', 'remove_bookmark', 'up', 'down', 'item_i', 'remove_bookmark']","['continue', 'item_i', 'save_bookmark', 'remove_bookmark']",1.0,0.75,0.6,0.5,5.0,0.2857142857142857,
guardian,17-RemoveBookmark,0,1,"['get_started', 'home', 'menu', 'menu', 'account', 'sign_in', 'bookmark', 'item_detail']","['get_started', 'home', 'item_detail', 'item_detail']","['bypass', 'menu', 'category', 'bookmark', 'to_signin_or_signup', 'pick_google_account', 'item_i', 'remove_bookmark']","['continue', 'item_i', 'save_bookmark', 'remove_bookmark']",1.0,0.5,0.42857142857142855,0.25,7.0,0.125,
