AUT,usage,test_id,human_video_id,human_states,generated_states,human_transitions,generated_transitions,state_coverage,transition_coverage,state_recall,transition_recall,effort,reduction,core_flag
zappos,15-Filter,0,0,"['home', 'items', 'filter', 'filter', 'filter', 'filter', 'items', 'filter', 'filter', 'filter']","['home', 'items', 'filter', 'filter', 'filter']","['to_search', 'filter_option', 'filter_option', 'filter', 'filter_option', 'filter_option', 'filter', 'male', 'item_option', 'continue']","['category_i', 'filter', 'filter_option', 'apply']",1.0,0.5,1.0,0.3333333333333333,8.0,0.2,
zappos,15-Filter,0,1,"['home', 'items', 'filter', 'filter', 'filter', 'filter', 'filter', 'filter', 'filter']","['home', 'items', 'filter', 'filter', 'filter']","['to_search', 'filter', 'menu_more', 'item_option', 'menu_more', 'menu_more', 'filter_option', 'filter_option', 'filter_option']","['category_i', 'filter', 'filter_option', 'apply']",1.0,0.5,1.0,0.4,7.0,0.2222222222222222,
