AUT,usage,test_id,human_video_id,human_states,generated_states,human_transitions,generated_transitions,state_coverage,transition_coverage,state_recall,transition_recall,effort,reduction,core_flag
dailyhunt,18-Textsize,0,0,"['items', 'item_detail', 'menu', 'text_size', 'text_size', 'text_size']",['popup'],"['item_i', 'menu_more', 'textsize', 'change_textsize', 'continue']",['legal'],0.0,0.0,0.0,0.0,5.0,0.0,
dailyhunt,18-Textsize,0,1,"['home', 'category', 'item_detail', 'menu', 'text_size', 'text_size', 'category', 'category', 'item_detail', 'category', 'category', 'items', 'items', 'items']",['popup'],"['category_i', 'menu_more', 'textsize', 'continue', 'category_i', 'category_i', 'back', 'category_i', 'item_i', 'item_i']",['legal'],0.0,0.0,0.0,0.0,10.0,0.0,
dailyhunt,18-Textsize,0,2,"['menu', 'text_size', 'text_size', 'items', 'items', 'items', 'items', 'items', 'items', 'item_detail']",['popup'],"['textsize', 'continue', 'item_i', 'up', 'up', 'item_i', 'menu_more']",['legal'],0.0,0.0,0.0,0.0,7.0,0.0,
fox,18-Textsize,0,0,"['popup', 'category', 'category', 'category', 'category', 'items', 'item_detail']","['popup', 'home', 'category', 'items', 'item_detail', 'item_detail']","['legal', 'up', 'category_i', 'item_i', 'change_textsize']","['continue', 'category', 'category_i', 'N/A', 'change_textsize', 'change_textsize']",1.0,0.4,0.8,0.4,4.0,0.2,
fox,18-Textsize,0,1,"['popup', 'items', 'category', 'category', 'item_detail']","['popup', 'home', 'category', 'items', 'item_detail', 'item_detail']","['legal', 'category', 'category_i', 'change_textsize']","['continue', 'category', 'category_i', 'N/A', 'change_textsize', 'change_textsize']",1.0,0.75,0.8,0.6,3.0,0.25,
fox,18-Textsize,0,2,"['popup', 'items', 'items', 'items', 'items', 'item_detail']","['popup', 'home', 'category', 'items', 'item_detail', 'item_detail']","['legal', 'up', 'item_i', 'change_textsize']","['continue', 'category', 'category_i', 'N/A', 'change_textsize', 'change_textsize']",1.0,0.25,0.6,0.2,5.0,-0.25,
fox,18-Textsize,0,3,"['popup', 'home', 'home', 'item_detail', 'item_detail']","['popup', 'home', 'category', 'items', 'item_detail', 'item_detail']","['apply', 'item_i', 'change_textsize', 'textsize']","['continue', 'category', 'category_i', 'N/A', 'change_textsize', 'change_textsize']",1.0,0.25,0.6,0.2,5.0,-0.25,
